Age,Sex=female,Sex=male,PassengerId,Survived
22.0,0.0,1.0,1,0
38.0,1.0,0.0,2,1
26.0,1.0,0.0,3,1
35.0,1.0,0.0,4,1
35.0,0.0,1.0,5,0
54.0,0.0,1.0,7,0
2.0,0.0,1.0,8,0
27.0,1.0,0.0,9,1
14.0,1.0,0.0,10,1
4.0,1.0,0.0,11,1
58.0,1.0,0.0,12,1
20.0,0.0,1.0,13,0
39.0,0.0,1.0,14,0
14.0,1.0,0.0,15,0
55.0,1.0,0.0,16,1
2.0,0.0,1.0,17,0
31.0,1.0,0.0,19,0
35.0,0.0,1.0,21,0
34.0,0.0,1.0,22,1
15.0,1.0,0.0,23,1
28.0,0.0,1.0,24,1
8.0,1.0,0.0,25,0
38.0,1.0,0.0,26,1
19.0,0.0,1.0,28,0
40.0,0.0,1.0,31,0
66.0,0.0,1.0,34,0
28.0,0.0,1.0,35,0
42.0,0.0,1.0,36,0
21.0,0.0,1.0,38,0
18.0,1.0,0.0,39,0
14.0,1.0,0.0,40,1
40.0,1.0,0.0,41,0
27.0,1.0,0.0,42,0
3.0,1.0,0.0,44,1
19.0,1.0,0.0,45,1
18.0,1.0,0.0,50,0
7.0,0.0,1.0,51,0
21.0,0.0,1.0,52,0
49.0,1.0,0.0,53,1
29.0,1.0,0.0,54,1
65.0,0.0,1.0,55,0
21.0,1.0,0.0,57,1
28.5,0.0,1.0,58,0
5.0,1.0,0.0,59,1
11.0,0.0,1.0,60,0
22.0,0.0,1.0,61,0
45.0,0.0,1.0,63,0
4.0,0.0,1.0,64,0
29.0,1.0,0.0,67,1
19.0,0.0,1.0,68,0
17.0,1.0,0.0,69,1
26.0,0.0,1.0,70,0
32.0,0.0,1.0,71,0
16.0,1.0,0.0,72,0
21.0,0.0,1.0,73,0
26.0,0.0,1.0,74,0
32.0,0.0,1.0,75,1
25.0,0.0,1.0,76,0
0.83,0.0,1.0,79,1
30.0,1.0,0.0,80,1
22.0,0.0,1.0,81,0
29.0,0.0,1.0,82,1
28.0,0.0,1.0,84,0
17.0,1.0,0.0,85,1
33.0,1.0,0.0,86,1
16.0,0.0,1.0,87,0
23.0,1.0,0.0,89,1
24.0,0.0,1.0,90,0
29.0,0.0,1.0,91,0
20.0,0.0,1.0,92,0
46.0,0.0,1.0,93,0
26.0,0.0,1.0,94,0
59.0,0.0,1.0,95,0
71.0,0.0,1.0,97,0
23.0,0.0,1.0,98,1
34.0,1.0,0.0,99,1
34.0,0.0,1.0,100,0
28.0,1.0,0.0,101,0
21.0,0.0,1.0,103,0
33.0,0.0,1.0,104,0
37.0,0.0,1.0,105,0
28.0,0.0,1.0,106,0
21.0,1.0,0.0,107,1
38.0,0.0,1.0,109,0
47.0,0.0,1.0,111,0
14.5,1.0,0.0,112,0
22.0,0.0,1.0,113,0
20.0,1.0,0.0,114,0
17.0,1.0,0.0,115,0
21.0,0.0,1.0,116,0
70.5,0.0,1.0,117,0
29.0,0.0,1.0,118,0
24.0,0.0,1.0,119,0
2.0,1.0,0.0,120,0
21.0,0.0,1.0,121,0
32.5,0.0,1.0,123,0
32.5,1.0,0.0,124,1
54.0,0.0,1.0,125,0
12.0,0.0,1.0,126,1
24.0,0.0,1.0,128,1
45.0,0.0,1.0,130,0
33.0,0.0,1.0,131,0
20.0,0.0,1.0,132,0
47.0,1.0,0.0,133,0
29.0,1.0,0.0,134,1
25.0,0.0,1.0,135,0
23.0,0.0,1.0,136,0
19.0,1.0,0.0,137,1
37.0,0.0,1.0,138,0
16.0,0.0,1.0,139,0
24.0,0.0,1.0,140,0
22.0,1.0,0.0,142,1
24.0,1.0,0.0,143,1
19.0,0.0,1.0,144,0
18.0,0.0,1.0,145,0
19.0,0.0,1.0,146,0
27.0,0.0,1.0,147,1
9.0,1.0,0.0,148,0
36.5,0.0,1.0,149,0
42.0,0.0,1.0,150,0
51.0,0.0,1.0,151,0
22.0,1.0,0.0,152,1
55.5,0.0,1.0,153,0
40.5,0.0,1.0,154,0
51.0,0.0,1.0,156,0
16.0,1.0,0.0,157,1
30.0,0.0,1.0,158,0
44.0,0.0,1.0,161,0
40.0,1.0,0.0,162,1
26.0,0.0,1.0,163,0
17.0,0.0,1.0,164,0
1.0,0.0,1.0,165,0
9.0,0.0,1.0,166,1
45.0,1.0,0.0,168,0
28.0,0.0,1.0,170,0
61.0,0.0,1.0,171,0
4.0,0.0,1.0,172,0
1.0,1.0,0.0,173,1
21.0,0.0,1.0,174,0
56.0,0.0,1.0,175,0
18.0,0.0,1.0,176,0
50.0,1.0,0.0,178,0
30.0,0.0,1.0,179,0
36.0,0.0,1.0,180,0
9.0,0.0,1.0,183,0
1.0,0.0,1.0,184,1
4.0,1.0,0.0,185,1
45.0,0.0,1.0,188,1
40.0,0.0,1.0,189,0
36.0,0.0,1.0,190,0
32.0,1.0,0.0,191,1
19.0,0.0,1.0,192,0
19.0,1.0,0.0,193,1
3.0,0.0,1.0,194,1
44.0,1.0,0.0,195,1
58.0,1.0,0.0,196,1
42.0,0.0,1.0,198,0
24.0,1.0,0.0,200,0
28.0,0.0,1.0,201,0
34.0,0.0,1.0,203,0
45.5,0.0,1.0,204,0
18.0,0.0,1.0,205,1
2.0,1.0,0.0,206,0
32.0,0.0,1.0,207,0
26.0,0.0,1.0,208,1
16.0,1.0,0.0,209,1
40.0,0.0,1.0,210,1
24.0,0.0,1.0,211,0
35.0,1.0,0.0,212,1
22.0,0.0,1.0,213,0
30.0,0.0,1.0,214,0
31.0,1.0,0.0,216,1
27.0,1.0,0.0,217,1
42.0,0.0,1.0,218,0
32.0,1.0,0.0,219,1
30.0,0.0,1.0,220,0
16.0,0.0,1.0,221,1
27.0,0.0,1.0,222,0
51.0,0.0,1.0,223,0
38.0,0.0,1.0,225,1
22.0,0.0,1.0,226,0
19.0,0.0,1.0,227,1
20.5,0.0,1.0,228,0
18.0,0.0,1.0,229,0
35.0,1.0,0.0,231,1
29.0,0.0,1.0,232,0
59.0,0.0,1.0,233,0
5.0,1.0,0.0,234,1
24.0,0.0,1.0,235,0
44.0,0.0,1.0,237,0
8.0,1.0,0.0,238,1
19.0,0.0,1.0,239,0
33.0,0.0,1.0,240,0
29.0,0.0,1.0,243,0
22.0,0.0,1.0,244,0
30.0,0.0,1.0,245,0
44.0,0.0,1.0,246,0
25.0,1.0,0.0,247,0
24.0,1.0,0.0,248,1
37.0,0.0,1.0,249,1
54.0,0.0,1.0,250,0
29.0,1.0,0.0,252,0
62.0,0.0,1.0,253,0
30.0,0.0,1.0,254,0
41.0,1.0,0.0,255,0
29.0,1.0,0.0,256,1
30.0,1.0,0.0,258,1
35.0,1.0,0.0,259,1
50.0,1.0,0.0,260,1
3.0,0.0,1.0,262,1
52.0,0.0,1.0,263,0
40.0,0.0,1.0,264,0
36.0,0.0,1.0,266,0
16.0,0.0,1.0,267,0
25.0,0.0,1.0,268,1
58.0,1.0,0.0,269,1
35.0,1.0,0.0,270,1
25.0,0.0,1.0,272,1
41.0,1.0,0.0,273,1
37.0,0.0,1.0,274,0
63.0,1.0,0.0,276,1
45.0,1.0,0.0,277,0
7.0,0.0,1.0,279,0
35.0,1.0,0.0,280,1
65.0,0.0,1.0,281,0
28.0,0.0,1.0,282,0
16.0,0.0,1.0,283,0
19.0,0.0,1.0,284,1
33.0,0.0,1.0,286,0
30.0,0.0,1.0,287,1
22.0,0.0,1.0,288,0
42.0,0.0,1.0,289,1
22.0,1.0,0.0,290,1
26.0,1.0,0.0,291,1
19.0,1.0,0.0,292,1
36.0,0.0,1.0,293,0
24.0,1.0,0.0,294,0
24.0,0.0,1.0,295,0
23.5,0.0,1.0,297,0
2.0,1.0,0.0,298,0
50.0,1.0,0.0,300,1
19.0,0.0,1.0,303,0
0.92,0.0,1.0,306,1
17.0,1.0,0.0,308,1
30.0,0.0,1.0,309,0
30.0,1.0,0.0,310,1
24.0,1.0,0.0,311,1
18.0,1.0,0.0,312,1
26.0,1.0,0.0,313,0
28.0,0.0,1.0,314,0
43.0,0.0,1.0,315,0
26.0,1.0,0.0,316,1
24.0,1.0,0.0,317,1
54.0,0.0,1.0,318,0
31.0,1.0,0.0,319,1
40.0,1.0,0.0,320,1
22.0,0.0,1.0,321,0
27.0,0.0,1.0,322,0
30.0,1.0,0.0,323,1
22.0,1.0,0.0,324,1
36.0,1.0,0.0,326,1
61.0,0.0,1.0,327,0
36.0,1.0,0.0,328,1
31.0,1.0,0.0,329,1
16.0,1.0,0.0,330,1
45.5,0.0,1.0,332,0
38.0,0.0,1.0,333,0
16.0,0.0,1.0,334,0
29.0,0.0,1.0,337,0
41.0,1.0,0.0,338,1
45.0,0.0,1.0,339,1
45.0,0.0,1.0,340,0
2.0,0.0,1.0,341,1
24.0,1.0,0.0,342,1
28.0,0.0,1.0,343,0
25.0,0.0,1.0,344,0
36.0,0.0,1.0,345,0
24.0,1.0,0.0,346,1
40.0,1.0,0.0,347,1
3.0,0.0,1.0,349,1
42.0,0.0,1.0,350,0
23.0,0.0,1.0,351,0
15.0,0.0,1.0,353,0
25.0,0.0,1.0,354,0
28.0,0.0,1.0,356,0
22.0,1.0,0.0,357,1
38.0,1.0,0.0,358,0
40.0,0.0,1.0,361,0
29.0,0.0,1.0,362,0
45.0,1.0,0.0,363,0
35.0,0.0,1.0,364,0
30.0,0.0,1.0,366,0
60.0,1.0,0.0,367,1
24.0,1.0,0.0,370,1
25.0,0.0,1.0,371,1
18.0,0.0,1.0,372,0
19.0,0.0,1.0,373,0
22.0,0.0,1.0,374,0
3.0,1.0,0.0,375,0
22.0,1.0,0.0,377,1
27.0,0.0,1.0,378,0
20.0,0.0,1.0,379,0
19.0,0.0,1.0,380,0
42.0,1.0,0.0,381,1
1.0,1.0,0.0,382,1
32.0,0.0,1.0,383,0
35.0,1.0,0.0,384,1
18.0,0.0,1.0,386,0
1.0,0.0,1.0,387,0
36.0,1.0,0.0,388,1
17.0,1.0,0.0,390,1
36.0,0.0,1.0,391,1
21.0,0.0,1.0,392,1
28.0,0.0,1.0,393,0
23.0,1.0,0.0,394,1
24.0,1.0,0.0,395,1
22.0,0.0,1.0,396,0
31.0,1.0,0.0,397,0
46.0,0.0,1.0,398,0
23.0,0.0,1.0,399,0
28.0,1.0,0.0,400,1
39.0,0.0,1.0,401,1
26.0,0.0,1.0,402,0
21.0,1.0,0.0,403,0
28.0,0.0,1.0,404,0
20.0,1.0,0.0,405,0
34.0,0.0,1.0,406,0
51.0,0.0,1.0,407,0
3.0,0.0,1.0,408,1
21.0,0.0,1.0,409,0
33.0,1.0,0.0,413,1
44.0,0.0,1.0,415,1
34.0,1.0,0.0,417,1
18.0,1.0,0.0,418,1
30.0,0.0,1.0,419,0
10.0,1.0,0.0,420,0
21.0,0.0,1.0,422,0
29.0,0.0,1.0,423,0
28.0,1.0,0.0,424,0
18.0,0.0,1.0,425,0
28.0,1.0,0.0,427,1
19.0,1.0,0.0,428,1
32.0,0.0,1.0,430,1
28.0,0.0,1.0,431,1
42.0,1.0,0.0,433,1
17.0,0.0,1.0,434,0
50.0,0.0,1.0,435,0
14.0,1.0,0.0,436,1
21.0,1.0,0.0,437,0
24.0,1.0,0.0,438,1
64.0,0.0,1.0,439,0
31.0,0.0,1.0,440,0
45.0,1.0,0.0,441,1
20.0,0.0,1.0,442,0
25.0,0.0,1.0,443,0
28.0,1.0,0.0,444,1
4.0,0.0,1.0,446,1
13.0,1.0,0.0,447,1
34.0,0.0,1.0,448,1
5.0,1.0,0.0,449,1
52.0,0.0,1.0,450,1
36.0,0.0,1.0,451,0
30.0,0.0,1.0,453,0
49.0,0.0,1.0,454,1
29.0,0.0,1.0,456,1
65.0,0.0,1.0,457,0
50.0,1.0,0.0,459,1
48.0,0.0,1.0,461,1
34.0,0.0,1.0,462,0
47.0,0.0,1.0,463,0
48.0,0.0,1.0,464,0
38.0,0.0,1.0,466,0
56.0,0.0,1.0,468,0
0.75,1.0,0.0,470,1
38.0,0.0,1.0,472,0
33.0,1.0,0.0,473,1
23.0,1.0,0.0,474,1
22.0,1.0,0.0,475,0
34.0,0.0,1.0,477,0
29.0,0.0,1.0,478,0
22.0,0.0,1.0,479,0
2.0,1.0,0.0,480,1
9.0,0.0,1.0,481,0
50.0,0.0,1.0,483,0
63.0,1.0,0.0,484,1
25.0,0.0,1.0,485,1
35.0,1.0,0.0,487,1
58.0,0.0,1.0,488,0
30.0,0.0,1.0,489,0
9.0,0.0,1.0,490,1
21.0,0.0,1.0,492,0
55.0,0.0,1.0,493,0
71.0,0.0,1.0,494,0
21.0,0.0,1.0,495,0
54.0,1.0,0.0,497,1
25.0,1.0,0.0,499,0
24.0,0.0,1.0,500,0
17.0,0.0,1.0,501,0
21.0,1.0,0.0,502,0
37.0,1.0,0.0,504,0
16.0,1.0,0.0,505,1
18.0,0.0,1.0,506,0
33.0,1.0,0.0,507,1
28.0,0.0,1.0,509,0
26.0,0.0,1.0,510,1
29.0,0.0,1.0,511,1
36.0,0.0,1.0,513,1
54.0,1.0,0.0,514,1
24.0,0.0,1.0,515,0
47.0,0.0,1.0,516,0
34.0,1.0,0.0,517,1
36.0,1.0,0.0,519,1
32.0,0.0,1.0,520,0
30.0,1.0,0.0,521,1
22.0,0.0,1.0,522,0
44.0,1.0,0.0,524,1
40.5,0.0,1.0,526,0
50.0,1.0,0.0,527,1
39.0,0.0,1.0,529,0
23.0,0.0,1.0,530,0
2.0,1.0,0.0,531,1
17.0,0.0,1.0,533,0
30.0,1.0,0.0,535,0
7.0,1.0,0.0,536,1
45.0,0.0,1.0,537,0
30.0,1.0,0.0,538,1
22.0,1.0,0.0,540,1
36.0,1.0,0.0,541,1
9.0,1.0,0.0,542,0
11.0,1.0,0.0,543,0
32.0,0.0,1.0,544,1
50.0,0.0,1.0,545,0
64.0,0.0,1.0,546,0
19.0,1.0,0.0,547,1
33.0,0.0,1.0,549,0
8.0,0.0,1.0,550,1
17.0,0.0,1.0,551,1
27.0,0.0,1.0,552,0
22.0,0.0,1.0,554,1
22.0,1.0,0.0,555,1
62.0,0.0,1.0,556,0
48.0,1.0,0.0,557,1
39.0,1.0,0.0,559,1
36.0,1.0,0.0,560,1
40.0,0.0,1.0,562,0
28.0,0.0,1.0,563,0
24.0,0.0,1.0,566,0
19.0,0.0,1.0,567,0
29.0,1.0,0.0,568,0
32.0,0.0,1.0,570,1
62.0,0.0,1.0,571,1
53.0,1.0,0.0,572,1
36.0,0.0,1.0,573,1
16.0,0.0,1.0,575,0
19.0,0.0,1.0,576,0
34.0,1.0,0.0,577,1
39.0,1.0,0.0,578,1
32.0,0.0,1.0,580,1
25.0,1.0,0.0,581,1
39.0,1.0,0.0,582,1
54.0,0.0,1.0,583,0
36.0,0.0,1.0,584,0
18.0,1.0,0.0,586,1
47.0,0.0,1.0,587,0
60.0,0.0,1.0,588,1
22.0,0.0,1.0,589,0
35.0,0.0,1.0,591,0
52.0,1.0,0.0,592,1
47.0,0.0,1.0,593,0
37.0,0.0,1.0,595,0
36.0,0.0,1.0,596,0
49.0,0.0,1.0,598,0
49.0,0.0,1.0,600,1
24.0,1.0,0.0,601,1
44.0,0.0,1.0,604,0
35.0,0.0,1.0,605,1
36.0,0.0,1.0,606,0
30.0,0.0,1.0,607,0
27.0,0.0,1.0,608,1
22.0,1.0,0.0,609,1
40.0,1.0,0.0,610,1
39.0,1.0,0.0,611,0
35.0,0.0,1.0,615,0
24.0,1.0,0.0,616,1
34.0,0.0,1.0,617,0
26.0,1.0,0.0,618,0
4.0,1.0,0.0,619,1
26.0,0.0,1.0,620,0
27.0,0.0,1.0,621,0
42.0,0.0,1.0,622,1
20.0,0.0,1.0,623,1
21.0,0.0,1.0,624,0
21.0,0.0,1.0,625,0
61.0,0.0,1.0,626,0
57.0,0.0,1.0,627,0
21.0,1.0,0.0,628,1
26.0,0.0,1.0,629,0
80.0,0.0,1.0,631,1
51.0,0.0,1.0,632,0
32.0,0.0,1.0,633,1
9.0,1.0,0.0,635,0
28.0,1.0,0.0,636,1
32.0,0.0,1.0,637,0
31.0,0.0,1.0,638,0
41.0,1.0,0.0,639,0
20.0,0.0,1.0,641,0
24.0,1.0,0.0,642,1
2.0,1.0,0.0,643,0
0.75,1.0,0.0,645,1
48.0,0.0,1.0,646,1
19.0,0.0,1.0,647,0
56.0,0.0,1.0,648,1
23.0,1.0,0.0,650,1
18.0,1.0,0.0,652,1
21.0,0.0,1.0,653,0
18.0,1.0,0.0,655,0
24.0,0.0,1.0,656,0
32.0,1.0,0.0,658,0
23.0,0.0,1.0,659,0
58.0,0.0,1.0,660,0
50.0,0.0,1.0,661,1
40.0,0.0,1.0,662,0
47.0,0.0,1.0,663,0
36.0,0.0,1.0,664,0
20.0,0.0,1.0,665,1
32.0,0.0,1.0,666,0
25.0,0.0,1.0,667,0
43.0,0.0,1.0,669,0
40.0,1.0,0.0,671,1
31.0,0.0,1.0,672,0
70.0,0.0,1.0,673,0
31.0,0.0,1.0,674,1
18.0,0.0,1.0,676,0
24.5,0.0,1.0,677,0
18.0,1.0,0.0,678,1
43.0,1.0,0.0,679,0
36.0,0.0,1.0,680,1
27.0,0.0,1.0,682,1
20.0,0.0,1.0,683,0
14.0,0.0,1.0,684,0
60.0,0.0,1.0,685,0
25.0,0.0,1.0,686,0
14.0,0.0,1.0,687,0
19.0,0.0,1.0,688,0
18.0,0.0,1.0,689,0
15.0,1.0,0.0,690,1
31.0,0.0,1.0,691,1
4.0,1.0,0.0,692,1
25.0,0.0,1.0,694,0
60.0,0.0,1.0,695,0
52.0,0.0,1.0,696,0
44.0,0.0,1.0,697,0
49.0,0.0,1.0,699,0
42.0,0.0,1.0,700,0
18.0,1.0,0.0,701,1
35.0,0.0,1.0,702,1
18.0,1.0,0.0,703,0
25.0,0.0,1.0,704,0
26.0,0.0,1.0,705,0
39.0,0.0,1.0,706,0
45.0,1.0,0.0,707,1
42.0,0.0,1.0,708,1
22.0,1.0,0.0,709,1
24.0,1.0,0.0,711,1
48.0,0.0,1.0,713,1
29.0,0.0,1.0,714,0
52.0,0.0,1.0,715,0
19.0,0.0,1.0,716,0
38.0,1.0,0.0,717,1
