"norm","exp","weibull","lnorm","gamma","logis","cauchy","gumbel","binom","triang","empirical"
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
0.5,0,0,0,0,0.5,0.5,0.066,0.25,0.5,0.0663
1,1,1,0.9988,1,1,0.9849,1,1,1,0.2652
1,1,1,0.9999,1,1,0.9926,1,1,1,0.4659
1,1,1,1,1,1,0.9951,1,1,1,0.6667
1,1,1,1,1,1,0.9963,1,1,1,0.8674
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.1326
1,1,1,0.9996,1,1,0.9886,1,1,1,0.3333
1,1,1,1,1,1,0.9935,1,1,1,0.5341
1,1,1,1,1,1,0.9955,1,1,1,0.7348
1,1,1,1,1,1,0.9966,1,1,1,0.9337
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.1326
1,1,1,0.9996,1,1,0.9886,1,1,1,0.3333
1,1,1,1,1,1,0.9935,1,1,1,0.5341
1,1,1,1,1,1,0.9955,1,1,1,0.7348
1,1,1,1,1,1,0.9966,1,1,1,0.9337
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.1326
1,1,1,0.9996,1,1,0.9886,1,1,1,0.3333
1,1,1,1,1,1,0.9935,1,1,1,0.5341
1,1,1,1,1,1,0.9955,1,1,1,0.7348
1,1,1,1,1,1,0.9966,1,1,1,0.9337
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.1326
1,1,1,0.9996,1,1,0.9886,1,1,1,0.3333
1,1,1,1,1,1,0.9935,1,1,1,0.5341
1,1,1,1,1,1,0.9955,1,1,1,0.7348
1,1,1,1,1,1,0.9966,1,1,1,0.9337
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.1326
1,1,1,0.9996,1,1,0.9886,1,1,1,0.3333
1,1,1,1,1,1,0.9935,1,1,1,0.5341
1,1,1,1,1,1,0.9955,1,1,1,0.7348
1,1,1,1,1,1,0.9966,1,1,1,0.9337
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.1326
1,1,1,0.9996,1,1,0.9886,1,1,1,0.3333
1,1,1,1,1,1,0.9935,1,1,1,0.5341
1,1,1,1,1,1,0.9955,1,1,1,0.7348
1,1,1,1,1,1,0.9966,1,1,1,0.9337
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.1326
1,1,1,0.9996,1,1,0.9886,1,1,1,0.3333
1,1,1,1,1,1,0.9935,1,1,1,0.5341
1,1,1,1,1,1,0.9955,1,1,1,0.7348
1,1,1,1,1,1,0.9966,1,1,1,0.9337
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.1326
1,1,1,0.9996,1,1,0.9886,1,1,1,0.3333
1,1,1,1,1,1,0.9935,1,1,1,0.5341
1,1,1,1,1,1,0.9955,1,1,1,0.7348
1,1,1,1,1,1,0.9966,1,1,1,0.9337
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.1326
1,1,1,0.9996,1,1,0.9886,1,1,1,0.3333
1,1,1,1,1,1,0.9935,1,1,1,0.5341
1,1,1,1,1,1,0.9955,1,1,1,0.7348
1,1,1,1,1,1,0.9966,1,1,1,0.9337
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.1326
1,1,1,0.9996,1,1,0.9886,1,1,1,0.3333
1,1,1,1,1,1,0.9935,1,1,1,0.5341
1,1,1,1,1,1,0.9955,1,1,1,0.7348
1,1,1,1,1,1,0.9966,1,1,1,0.9337
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.1326
1,1,1,0.9996,1,1,0.9886,1,1,1,0.3333
1,1,1,1,1,1,0.9935,1,1,1,0.5341
1,1,1,1,1,1,0.9955,1,1,1,0.7348
1,1,1,1,1,1,0.9966,1,1,1,0.9337
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.1326
1,1,1,0.9996,1,1,0.9886,1,1,1,0.3333
1,1,1,1,1,1,0.9935,1,1,1,0.5341
1,1,1,1,1,1,0.9955,1,1,1,0.7348
1,1,1,1,1,1,0.9966,1,1,1,0.9337
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.1326
1,1,1,0.9996,1,1,0.9886,1,1,1,0.3333
1,1,1,1,1,1,0.9935,1,1,1,0.5341
1,1,1,1,1,1,0.9955,1,1,1,0.7348
1,1,1,1,1,1,0.9966,1,1,1,0.9337
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.1326
1,1,1,0.9996,1,1,0.9886,1,1,1,0.3333
1,1,1,1,1,1,0.9935,1,1,1,0.5341
1,1,1,1,1,1,0.9955,1,1,1,0.7348
1,1,1,1,1,1,0.9966,1,1,1,0.9337
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.1326
1,1,1,0.9996,1,1,0.9886,1,1,1,0.3333
1,1,1,1,1,1,0.9935,1,1,1,0.5341
1,1,1,1,1,1,0.9955,1,1,1,0.7348
1,1,1,1,1,1,0.9966,1,1,1,0.9337
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.1326
1,1,1,0.9996,1,1,0.9886,1,1,1,0.3333
1,1,1,1,1,1,0.9935,1,1,1,0.5341
1,1,1,1,1,1,0.9955,1,1,1,0.7348
1,1,1,1,1,1,0.9966,1,1,1,0.9337
1,0.9975,0.9975,0.9634,0.9975,0.9975,0.9474,0.9933,1,1,0.1326
1,1,1,0.9996,1,1,0.9886,1,1,1,0.3333
